15335,1929,3934
15336,1929,5142
15337,1929,2232
15338,1929,2308
15339,2084,773
15340,2084,3902
15341,2084,2403
15342,2084,2246
15343,2084,1745
15344,2084,2025
15345,2084,4042
15346,1930,5143
15347,1930,183
15348,1930,12
15349,1930,2247
15350,1930,3934
15351,1930,5142
15352,1930,2232
15353,1930,2308
15354,2085,773
15355,2085,3902
15356,2085,2403
15357,2085,2246
15358,2085,1745
15359,2085,2025
15360,2085,4042
15361,1776,5265
15362,1776,3739
15363,1776,4809
15364,1776,12
15365,1776,2247
15366,1776,3065
15367,1776,5266
15368,1931,2227
15369,1931,4822
15370,1931,2784
15371,1931,3005
15372,1931,4037
15373,1931,1963
15374,1931,573
15375,1931,4996
15376,1931,3465
15377,2086,4663
15378,2086,2168
15379,2086,1745
15380,2086,2403
15381,2086,3018
15382,2086,2868
15383,2086,1555
15384,2086,3459
15385,1777,5127
15386,1777,5123
15387,1777,3391
15388,1777,1270
15389,1777,3337
15390,1777,1989
15391,1777,686
15392,1777,5120
15393,1932,686
15394,1932,5144
15395,1932,183
15396,1932,3334
15397,1932,2308
15398,1932,1979
15399,1932,3065
15400,1932,5266
15401,2087,3460
15402,2087,1652
15403,2087,3902
15404,2087,4937
15405,2087,2193
15406,2087,476
15407,2087,242
15408,2087,4199
15409,2087,4656
15410,2087,5163
15411,2087,623
15412,2087,746
15413,2087,1522
15414,2087,3078
15415,2087,1566
15416,2087,3459
15417,1778,3733
15418,1778,5130
15419,1778,5149
15420,1778,1118
15421,1778,3173
15422,1778,5118
15423,1778,538
15424,1778,2232
15425,1778,3758
15426,1933,4809
15427,1933,5144
15428,1933,183
15429,1933,3334
15430,1933,2308
15431,1933,1979
15432,1933,3065
15433,1933,5266
15434,1934,2777
15435,1934,2227
15436,1934,3626
15437,1934,4822
15438,1934,399
15439,1934,1488
15440,1934,2848
15441,1934,1963
15442,1934,2093
15443,1934,2513
15444,1935,5127
15445,1935,5123
15446,1935,3337
15447,1935,1542
15448,1935,30
15449,1935,4809
15450,1935,1854
15451,1936,2777
15452,1936,4286
15453,1936,423
15454,1936,399
15455,1936,2883
15456,1936,1441
15457,1936,5004
15458,1936,2671
15459,1936,1926
15460,1936,1819
15461,1936,1006
15462,1936,2170
15463,1937,3733
15464,1937,5149
15465,1937,1118
15466,1937,3363
15467,1937,3173
15468,1937,5119
15469,1937,538
15470,1937,5142
15471,1937,2232
15472,1783,5127
15473,1783,5123
15474,1783,3391
15475,1783,1270
15476,1783,3337
15477,1783,3855
15478,1783,1989
15479,1783,4809
15480,1783,5120
15481,2095,5312
15482,2095,5313
15483,2095,2311
15484,2095,5311
15485,2095,5310
15486,2095,1771
15487,2095,1866
15488,2095,3232
15489,2095,4150
15490,2095,2282
15491,2096,2787
15492,2096,3046
15493,2096,5295
15494,2096,2333
15495,2096,5306
15496,2096,2889
15497,2096,3177
15498,2096,1334
15499,2096,5283
15500,2096,4332
15501,2097,2787
15502,2097,3046
15503,2097,5273
15504,2097,5295
15505,2097,2333
15506,2097,5306
15507,2097,2889
15508,2097,1334
15509,2097,3177
15510,2097,5283
15511,2097,4332
15512,2099,1029
15513,2099,5312
15514,2099,3108
15515,2099,2311
15516,2099,5311
15517,2099,5313
15518,2099,5310
15519,2099,1771
15520,2099,1866
15521,2099,3232
15522,2099,4150
15523,2099,2282
15524,2099,2062
15525,2100,5312
15526,2100,3108
15527,2100,2311
15528,2100,5311
15529,2100,5313
15530,2100,5310
15531,2100,1771
15532,2100,1866
15533,2100,3232
15534,2100,4150
15535,2100,2282
15536,2100,1761
15537,2100,2062
15538,2101,5312
15539,2101,5313
15540,2101,3108
15541,2101,5311
15542,2101,2311
15543,2101,5310
15544,2101,1771
15545,2101,1866
15546,2101,2764
15547,2101,3232
15548,2101,4150
15549,2101,4332
15550,2101,1654
15551,2102,1029
15552,2102,5312
15553,2102,3108
15554,2102,5313
15555,2102,5311
15556,2102,2311
15557,2102,5310
15558,2102,1771
15559,2102,1866
15560,2102,2764
15561,2102,3232
15562,2102,564
15563,2102,4150
15564,2102,1654
15565,2103,5312
15566,2103,3108
15567,2103,5313
15568,2103,5311
15569,2103,2311
15570,2103,5310
15571,2103,1771
15572,2103,1866
15573,2103,3280
15574,2103,3232
15575,2103,4150
15576,2103,1654
15577,1794,4802
15578,1794,1517
15579,1794,1684
15580,1794,498
15581,1794,2764
15582,1794,3552
15583,1794,2444
15584,2104,5274
15585,2104,3919
15586,2104,2311
15587,2104,5273
15588,2104,4331
15589,2104,5272
15590,2104,142
15591,2104,737
15592,2104,1334
15593,1795,608
15594,1795,5129
15595,1795,2266
15596,1795,5264
15597,1795,5263
15598,1795,686
15599,1795,1347
15600,1795,586
15601,1795,1498
15602,2105,5274
15603,2105,3919
15604,2105,2968
15605,2105,2311
15606,2105,5273
15607,2105,5272
15608,2105,142
15609,2105,737
15610,2105,1334
15611,1796,467
15612,1796,4803
15613,1796,422
15614,1796,2115
15615,1796,202
15616,1796,1428
15617,1796,3040
15618,1796,5308
15619,2106,5274
15620,2106,3919
15621,2106,142
15622,2106,2311
15623,2106,4331
15624,2106,737
